iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
FIN,Europe,Finland,2020-09-08,8327,102,34.429,336,1,0.143,1502.874,18.409,6.214,60.642,0.18,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.41,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.92,0.04035066650654497
FRA,Europe,France,2020-09-08,328980,4203,6850.714,30726,25,13,5040.023,64.391,104.954,470.727,0.383,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.61,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,0.09339777494072588
PYF,Oceania,French Polynesia,2020-09-08,711,17,26.286,0,0,0,2531.114,60.519,93.575,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280904,77.324,32.7,7.775,4.593,NA,NA,NA,22.63,NA,NA,NA,NA,77.66,NA,0
GAB,Africa,Gabon,2020-09-08,8608,7,10.714,53,0,0,3867.499,3.145,4.814,23.812,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.702,0.006157063197026022
GMB,Africa,Gambia,2020-09-08,3197,0,33.429,99,0,0.429,1322.898,0,13.833,40.966,0,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46,0.030966531122927746
GEO,Asia,Georgia,2020-09-08,1684,44,28.143,19,0,0,422.142,11.03,7.055,4.763,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.78,0.011282660332541567
DEU,Europe,Germany,2020-09-08,252298,1499,1242.714,9329,4,3.857,3011.293,17.891,14.832,111.346,0.048,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.54,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936,0.03697611554590207
GHA,Africa,Ghana,2020-09-08,45012,235,102,283,0,1,1448.591,7.563,3.283,9.108,0,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592,0.006287212298942504
GIB,Europe,Gibraltar,2020-09-08,315,0,4.286,0,0,0,9349.678,0,127.207,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA,0
GRC,Europe,Greece,2020-09-08,11663,139,192.286,289,5,3.286,1118.962,13.336,18.448,27.727,0.48,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.87,0.024779216325130755
GRL,North America,Greenland,2020-09-08,14,0,0,0,0,0,246.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,NA,0
GRD,North America,Grenada,2020-09-08,24,0,0,0,0,0,213.297,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.772,0
GUM,Oceania,Guam,2020-09-08,1671,52,39.429,15,1,0.714,9900.286,308.088,233.605,88.872,5.925,4.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,NA,0.008976660682226212
GTM,North America,Guatemala,2020-09-08,77828,145,536.286,2862,10,14.571,4344.155,8.094,29.934,159.749,0.558,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.04,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.65,0.03677339774888215
GGY,Europe,Guernsey,2020-09-08,253,1,0.143,13,0,0,3773.191,14.914,2.131,193.879,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05138339920948617
GIN,Africa,Guinea,2020-09-08,9798,76,55.571,61,0,0.286,746.071,5.787,4.232,4.645,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.459,0.006225760359256991
GNB,Africa,Guinea-Bissau,2020-09-08,2245,0,5.714,38,0,0.571,1140.753,0,2.904,19.309,0,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,0.455,0.016926503340757237
GUY,South America,Guyana,2020-09-08,1560,92,36.286,47,1,1.143,1983.322,116.965,46.132,59.754,1.271,1.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.15,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,0.654,0.03012820512820513
HTI,North America,Haiti,2020-09-08,8362,2,19.714,214,0,1.857,733.346,0.175,1.729,18.768,0,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.498,0.02559196364506099
HND,North America,Honduras,2020-09-08,64814,50,542.857,2023,16,21.429,6543.823,5.048,54.809,204.248,1.615,2.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,0.617,0.031212392384361402
HKG,Asia,Hong Kong,2020-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,7496988,7039.714,44.8,16.303,10.158,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,0.933,NA
HUN,Europe,Hungary,2020-09-08,8963,576,403.429,625,1,1.429,927.813,59.625,41.761,64.697,0.104,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.85,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.838,0.06973111681356689
ISL,Europe,Iceland,2020-09-08,2143,2,5.143,10,0,0,6279.853,5.861,15.071,29.304,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.935,0.004666355576294913
IND,Asia,India,2020-09-08,4280422,75809,84179.429,72775,1133,1078.143,3101.745,54.934,60.999,52.735,0.821,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,0.01700182832440353
IDN,Asia,Indonesia,2020-09-08,196989,2880,3170.429,8130,105,101.857,720.19,10.529,11.591,29.723,0.384,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694,0.041271340024062256
IRN,Asia,Iran,2020-09-08,388810,2152,1942.571,22410,117,119.857,4629.079,25.621,23.128,266.808,1.393,1.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798,0.057637406445307474
IRQ,Asia,Iraq,2020-09-08,264684,4314,4250,7589,77,78.143,6580.496,107.253,105.662,188.675,1.914,1.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.685,0.028671925768085717
IRL,Europe,Ireland,2020-09-08,29774,102,137.571,1777,0,0,6029.816,20.657,27.861,359.877,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.938,0.05968294485121247
IMN,Europe,Isle of Man,2020-09-08,337,0,0.143,24,0,0,3963.214,0,1.68,282.247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA,0.0712166172106825
ISR,Asia,Israel,2020-09-08,135043,4399,2573.286,1026,7,12.429,15601.913,508.229,297.299,118.537,0.809,1.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.903,0.007597580030064498
ITA,Europe,Italy,2020-09-08,278784,1150,1367.143,35553,12,10,4610.909,19.02,22.612,588.024,0.198,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88,0.12752883953168045
JAM,North America,Jamaica,2020-09-08,3183,80,118,34,1,1.857,1074.916,27.016,39.849,11.482,0.338,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732,0.010681746779767515
JPN,Asia,Japan,2020-09-08,72234,378,548.857,1377,14,11.571,571.126,2.989,4.34,10.887,0.111,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.909,0.019063045103413903
JEY,Europe,Jersey,2020-09-08,384,0,1.429,32,0,0,3799.234,0,14.134,316.603,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333
JOR,Asia,Jordan,2020-09-08,2478,67,63.429,17,1,0.286,242.866,6.567,6.217,1.666,0.098,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.11,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,0.735,0.006860371267150928
KAZ,Asia,Kazakhstan,2020-09-08,134203,80,372.429,1903,1,12.571,7147.313,4.261,19.835,101.349,0.053,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.8,0.014180010879041452
KEN,Africa,Kenya,2020-09-08,35205,102,143.429,599,2,3.143,654.717,1.897,2.667,11.14,0.037,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.59,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59,0.017014628603891493
OWID_KOS,Europe,Kosovo,2020-09-08,14204,85,107.143,568,5,6.143,7349.023,43.978,55.435,293.878,2.587,3.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932774,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.03998873556744579
KWT,Asia,Kuwait,2020-09-08,90387,805,754,546,2,2.143,21165.125,188.5,176.558,127.852,0.468,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.74,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.803,0.006040691692389392
KGZ,Asia,Kyrgyzstan,2020-09-08,44526,75,81.143,1060,0,0.143,6824.754,11.496,12.437,162.472,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672,0.02380631541122041
LAO,Asia,Laos,2020-09-08,22,0,0,0,0,0,3.024,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601,0
LVA,Europe,Latvia,2020-09-08,1429,1,4.714,35,0,0.143,757.607,0.53,2.499,18.556,0,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.847,0.0244926522043387
LBN,Asia,Lebanon,2020-09-08,20826,400,502.571,200,9,4.714,3051.231,58.604,73.632,29.302,1.319,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.757,0.009603380389897245
LSO,Africa,Lesotho,2020-09-08,1148,0,9,31,0,0,535.885,0,4.201,14.471,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.52,0.02700348432055749
LBR,Africa,Liberia,2020-09-08,1311,4,1,82,0,0,259.21,0.791,0.198,16.213,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435,0.06254767353165523
LBY,Africa,Libya,2020-09-08,18833,1084,695.286,296,11,8.429,2740.826,157.758,101.187,43.078,1.601,1.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.706,0.015717092337917484
LIE,Europe,Liechtenstein,2020-09-08,108,0,0,1,0,0,2831.896,0,0,26.221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.916,0.009259259259259259
LTU,Europe,Lithuania,2020-09-08,3100,17,27.714,86,0,0,1138.747,6.245,10.181,31.591,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.858,0.027741935483870966
LUX,Europe,Luxembourg,2020-09-08,6950,54,39,124,0,0,11102.662,86.265,62.303,198.091,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.904,0.017841726618705037
MKD,Europe,Macedonia,2020-09-08,15090,328,108.571,617,11,2.429,7243.038,157.436,52.113,296.153,5.28,1.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757,0.040888005301524186
MDG,Africa,Madagascar,2020-09-08,15352,33,69.857,202,2,1.429,554.404,1.192,2.523,7.295,0.072,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.33,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,0.519,0.013157894736842105
MWI,Africa,Malawi,2020-09-08,5621,7,7.857,176,1,0.143,293.832,0.366,0.411,9.2,0.052,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.477,0.03131115459882583
MYS,Asia,Malaysia,2020-09-08,9459,62,17,128,0,0.143,292.251,1.916,0.525,3.955,0,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.41,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.802,0.013532085844169574
MDV,Asia,Maldives,2020-09-08,8667,83,122.714,29,0,0.143,16033.907,153.55,227.021,53.65,0,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.717,0.0033460251528787356
MLI,Africa,Mali,2020-09-08,2870,28,13.429,127,0,0.143,141.723,1.383,0.663,6.271,0,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,0.427,0.04425087108013937
MLT,Europe,Malta,2020-09-08,2077,37,27.429,14,0,0.286,4704.001,83.798,62.12,31.707,0,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878,0.006740491092922484
MRT,Africa,Mauritania,2020-09-08,7142,8,13.429,160,0,0.143,1536.026,1.721,2.888,34.411,0,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.52,0.022402688322598712
MUS,Africa,Mauritius,2020-09-08,356,0,0,10,0,0,279.925,0,0,7.863,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.79,0.028089887640449437
MEX,North America,Mexico,2020-09-08,637509,3486,5421.286,67781,223,481,4944.508,27.037,42.047,525.708,1.73,3.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774,0.10632163624356676
MDA,Europe,Moldova,2020-09-08,40055,258,447.857,1074,11,11.286,9929.442,63.957,111.022,266.239,2.727,2.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7,0.02681313194357758
MCO,Europe,Monaco,2020-09-08,153,5,2.143,1,0,0,3898.685,127.408,54.603,25.482,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39244,19347.5,NA,NA,NA,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,NA,0.006535947712418301
MNG,Asia,Mongolia,2020-09-08,310,0,0.857,0,0,0,94.561,0,0.261,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.741,0
MNE,Europe,Montenegro,2020-09-08,5659,106,117.714,109,1,1.286,9010.257,168.773,187.425,173.55,1.592,2.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,0.814,0.019261353596041704
MSR,North America,Montserrat,2020-09-08,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.16,NA,0.07692307692307693
MAR,Africa,Morocco,2020-09-08,73780,1386,1598.571,1394,33,36.143,1998.886,37.55,43.309,37.767,0.894,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.37,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.667,0.01889400921658986
MOZ,Africa,Mozambique,2020-09-08,4557,113,91.571,27,0,0.571,145.799,3.615,2.93,0.864,0,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.04,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.437,0.005924950625411455
MMR,Asia,Myanmar,2020-09-08,1610,146,103.286,8,0,0.286,29.59,2.683,1.898,0.147,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.48,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578,0.004968944099378882
NAM,Africa,Namibia,2020-09-08,8810,125,180,91,2,2.286,3467.254,49.195,70.841,35.814,0.787,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.48,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.647,0.010329171396140749
NPL,Asia,Nepal,2020-09-08,47236,979,1110.857,300,11,10.286,1621.18,33.6,38.126,10.296,0.378,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574,0.006351088153103565
NLD,Europe,Netherlands,2020-09-08,75512,797,702.286,6234,0,2.714,4406.919,46.513,40.986,363.819,0,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.931,0.08255641487445704
NCL,Oceania,New Caledonia,2020-09-08,26,0,0.429,0,0,0,91.071,0,1.501,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285491,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,0
NZL,Oceania,New Zealand,2020-09-08,1431,6,4.286,24,0,0.286,296.75,1.244,0.889,4.977,0,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.72,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917,0.016771488469601678
