Family,Father,Mother,Sex,Height,Kids,MeanParent,id
106,69.5,66,M,71,7,67.75,454
106,69.5,66,M,71,7,67.75,455
106,69.5,66,M,70.5,7,67.75,456
106,69.5,66,M,70.5,7,67.75,457
106,69.5,66,F,66.5,7,67.75,458
106,69.5,66,F,65.5,7,67.75,459
106,69.5,66,F,64.5,7,67.75,460
107,69,66,M,73,9,67.5,461
107,69,66,M,72,9,67.5,462
107,69,66,M,69,9,67.5,463
107,69,66,M,69,9,67.5,464
107,69,66,F,66.5,9,67.5,465
107,69,66,F,65.5,9,67.5,466
107,69,66,F,65.5,9,67.5,467
107,69,66,F,65,9,67.5,468
107,69,66,F,64,9,67.5,469
108,69,65,M,70,7,67,470
108,69,65,M,68.5,7,67,471
108,69,65,M,67,7,67,472
108,69,65,F,65,7,67,473
108,69,65,F,64,7,67,474
108,69,65,F,63.5,7,67,475
108,69,65,F,61,7,67,476
109,69.5,64.5,M,69.7,7,67,477
109,69.5,64.5,M,68,7,67,478
109,69.5,64.5,M,60,7,67,479
109,69.5,64.5,F,65.2,7,67,480
109,69.5,64.5,F,64.5,7,67,481
109,69.5,64.5,F,63.7,7,67,482
109,69.5,64.5,F,60,7,67,483
110,69.2,64,M,71.7,4,66.6,484
110,69.2,64,M,66.5,4,66.6,485
110,69.2,64,F,65,4,66.6,486
110,69.2,64,F,63.5,4,66.6,487
112,69,63,M,69,3,66,488
112,69,63,F,67.5,3,66,489
112,69,63,F,63.5,3,66,490
113,69,63,M,72,1,66,491
114,69,63,M,73,6,66,492
114,69,63,M,70,6,66,493
114,69,63,M,70,6,66,494
114,69,63,M,64,6,66,495
114,69,63,F,66,6,66,496
114,69,63,F,62,6,66,497
115,69,63.5,M,70.5,7,66.25,498
115,69,63.5,M,67,7,66.25,499
115,69,63.5,M,66,7,66.25,500
115,69,63.5,F,65,7,66.25,501
115,69,63.5,F,63,7,66.25,502
115,69,63.5,F,62,7,66.25,503
115,69,63.5,F,61,7,66.25,504
116,69,63.5,M,70.5,3,66.25,505
116,69,63.5,F,63.7,3,66.25,506
116,69,63.5,F,63,3,66.25,507
117,69.7,62,F,62.5,1,65.85,508
118,69.5,62,M,73,3,65.75,509
118,69.5,62,M,72,3,65.75,510
118,69.5,62,M,69,3,65.75,511
119,69,62,M,73,5,65.5,512
119,69,62,M,71,5,65.5,513
119,69,62,M,71,5,65.5,514
119,69,62,M,69,5,65.5,515
119,69,62,F,63,5,65.5,516
121,69,62.5,M,71,8,65.75,517
121,69,62.5,M,70,8,65.75,518
121,69,62.5,M,70,8,65.75,519
121,69,62.5,M,69,8,65.75,520
121,69,62.5,F,63.5,8,65.75,521
121,69,62.5,F,62.5,8,65.75,522
121,69,62.5,F,62.5,8,65.75,523
121,69,62.5,F,62,8,65.75,524
122,69,62,M,72,4,65.5,525
122,69,62,M,68,4,65.5,526
122,69,62,F,66,4,65.5,527
122,69,62,F,66,4,65.5,528
123,69.5,61,M,70,5,65.25,529
123,69.5,61,M,69.5,5,65.25,530
123,69.5,61,M,69,5,65.25,531
123,69.5,61,F,63,5,65.25,532
123,69.5,61,F,62,5,65.25,533
124,69,61,M,68,9,65,534
124,69,61,M,68,9,65,535
124,69,61,M,67.5,9,65,536
124,69,61,M,64,9,65,537
124,69,61,M,63,9,65,538
124,69,61,M,63,9,65,539
124,69,61,F,63.5,9,65,540
124,69,61,F,62,9,65,541
124,69,61,F,62,9,65,542
125,69,60,M,70.5,3,64.5,543
125,69,60,F,68,3,64.5,544
125,69,60,F,62.5,3,64.5,545
126,69,60,M,69,4,64.5,546
126,69,60,M,66,4,64.5,547
126,69,60,F,61.7,4,64.5,548
126,69,60,F,60.5,4,64.5,549
127,69,60.5,M,69.5,1,64.75,550
128,68.7,70.5,M,71,2,69.6,551
128,68.7,70.5,F,61.7,2,69.6,552
129,68.5,67,M,73,3,67.75,553
129,68.5,67,M,71,3,67.75,554
129,68.5,67,F,67,3,67.75,555
130,68.5,66.5,M,70,11,67.5,556
130,68.5,66.5,M,69,11,67.5,557
130,68.5,66.5,M,69,11,67.5,558
130,68.5,66.5,M,68.7,11,67.5,559
130,68.5,66.5,M,68.5,11,67.5,560
130,68.5,66.5,M,68.5,11,67.5,561
130,68.5,66.5,M,68,11,67.5,562
130,68.5,66.5,M,68,11,67.5,563
130,68.5,66.5,M,68,11,67.5,564
130,68.5,66.5,F,63.2,11,67.5,565
131,68,65,M,67.5,2,66.5,566
131,68,65,M,66,2,66.5,567
132,68,65.5,M,66,2,66.75,568
132,68,65.5,F,64,2,66.75,569
133,68,65.5,M,71.7,7,66.75,570
133,68,65.5,M,71.5,7,66.75,571
133,68,65.5,M,70.7,7,66.75,572
133,68,65.5,M,65.5,7,66.75,573
133,68,65.5,F,66.5,7,66.75,574
133,68,65.5,F,65.2,7,66.75,575
133,68,65.5,F,61.5,7,66.75,576
134,68,65,M,72,4,66.5,577
134,68,65,M,72,4,66.5,578
134,68,65,F,68,4,66.5,579
134,68,65,F,66,4,66.5,580
135,68.5,65,M,69.2,8,66.75,581
135,68.5,65,M,68,8,66.75,582
135,68.5,65,M,66,8,66.75,583
135,68.5,65,M,66,8,66.75,584
135,68.5,65,F,62,8,66.75,585
135,68.5,65,F,61.5,8,66.75,586
135,68.5,65,F,61,8,66.75,587
135,68.5,65,F,60,8,66.75,588
136,68,64,M,71,10,66,589
136,68,64,M,68,10,66,590
136,68,64,M,68,10,66,591
136,68,64,M,67,10,66,592
136,68,64,F,65,10,66,593
136,68,64,F,64,10,66,594
136,68,64,F,63,10,66,595
136,68,64,F,63,10,66,596
136,68,64,F,62,10,66,597
136,68,64,F,61,10,66,598
137,68,64,M,66,4,66,599
137,68,64,M,63,4,66,600
137,68,64,F,65.5,4,66,601
137,68,64,F,62,4,66,602
138,68,64,M,71.2,5,66,603
138,68,64,M,71.2,5,66,604
138,68,64,M,69,5,66,605
138,68,64,M,68.5,5,66,606
138,68,64,F,62.5,5,66,607
139,68,64.5,F,62,1,66.25,608
140,68,64,M,69,10,66,609
140,68,64,M,67,10,66,610
140,68,64,M,66,10,66,611
140,68,64,F,66,10,66,612
140,68,64,F,66,10,66,613
140,68,64,F,65,10,66,614
140,68,64,F,65,10,66,615
140,68,64,F,65,10,66,616
140,68,64,F,64,10,66,617
140,68,64,F,63,10,66,618
141,68,63,M,70.5,8,65.5,619
141,68,63,M,70,8,65.5,620
141,68,63,M,68,8,65.5,621
141,68,63,M,66,8,65.5,622
141,68,63,M,66,8,65.5,623
141,68,63,F,66,8,65.5,624
141,68,63,F,62,8,65.5,625
141,68,63,F,61.5,8,65.5,626
142,68.5,63.5,M,73.5,4,66,627
142,68.5,63.5,M,70,4,66,628
142,68.5,63.5,M,69.5,4,66,629
142,68.5,63.5,F,65.5,4,66,630
143,68,63,M,67,1,65.5,631
144,68,63,M,70,4,65.5,632
144,68,63,M,68,4,65.5,633
144,68,63,F,64.5,4,65.5,634
144,68,63,F,64,4,65.5,635
145,68,63,M,71,8,65.5,636
145,68,63,M,68,8,65.5,637
145,68,63,M,66,8,65.5,638
145,68,63,M,65.5,8,65.5,639
145,68,63,M,65,8,65.5,640
145,68,63,F,63,8,65.5,641
145,68,63,F,62,8,65.5,642
145,68,63,F,62,8,65.5,643
146,68,63,M,67,6,65.5,644
146,68,63,M,67,6,65.5,645
146,68,63,M,66,6,65.5,646
146,68,63,F,64,6,65.5,647
146,68,63,F,63.5,6,65.5,648
146,68,63,F,61,6,65.5,649
147,68.5,63.5,M,68.2,1,66,650
148,68,63,M,70,1,65.5,651
149,68.2,63.5,M,70,5,65.85,652
149,68.2,63.5,M,69,5,65.85,653
149,68.2,63.5,M,67,5,65.85,654
149,68.2,63.5,M,65.5,5,65.85,655
149,68.2,63.5,F,64.5,5,65.85,656
150,68,62.5,M,68.5,1,65.25,657
151,68.7,62,M,67.7,2,65.35,658
151,68.7,62,F,61.7,2,65.35,659
152,68,62.5,M,66.5,1,65.25,660
153,68,61,M,68.5,5,64.5,661
153,68,61,M,68,5,64.5,662
153,68,61,M,64,5,64.5,663
153,68,61,F,63.5,5,64.5,664
153,68,61,F,63,5,64.5,665
154,68,60.2,M,66.7,1,64.1,666
155,68,60,M,64,7,64,667
155,68,60,F,61,7,64,668
155,68,60,F,61,7,64,669
155,68,60,F,60,7,64,670
155,68,60,F,60,7,64,671
155,68,60,F,60,7,64,672
155,68,60,F,56,7,64,673
156,68,60,M,67.5,4,64,674
156,68,60,M,67,4,64,675
156,68,60,M,66.5,4,64,676
156,68,60,F,60,4,64,677
157,68.5,59,M,69,1,63.75,678
158,68,59,M,68,10,63.5,679
158,68,59,M,65,10,63.5,680
158,68,59,M,64.7,10,63.5,681
158,68,59,M,64,10,63.5,682
158,68,59,M,64,10,63.5,683
158,68,59,M,63,10,63.5,684
158,68,59,F,65,10,63.5,685
158,68,59,F,65,10,63.5,686
158,68,59,F,62,10,63.5,687
158,68,59,F,61,10,63.5,688
159,67,66.2,M,72.7,5,66.6,689
159,67,66.2,M,72.7,5,66.6,690
159,67,66.2,M,71.5,5,66.6,691
159,67,66.2,F,65.5,5,66.6,692
159,67,66.2,F,63.5,5,66.6,693
160,67,66.5,M,71,1,66.75,694
162,67,65,M,69.7,6,66,695
162,67,65,M,67.5,6,66,696
162,67,65,F,65.5,6,66,697
162,67,65,F,65,6,66,698
162,67,65,F,64.5,6,66,699
162,67,65,F,63.5,6,66,700
163,67,65.5,M,70,5,66.25,701
163,67,65.5,M,69,5,66.25,702
163,67,65.5,F,65.5,5,66.25,703
163,67,65.5,F,65.5,5,66.25,704
163,67,65.5,F,63,5,66.25,705
164,67,65.5,M,70,4,66.25,706
164,67,65.5,M,67.7,4,66.25,707
164,67,65.5,F,63,4,66.25,708
164,67,65.5,F,60,4,66.25,709
165,67,65,M,65,3,66,710
165,67,65,F,62,3,66,711
165,67,65,F,62,3,66,712
166,67.5,65,M,71,11,66.25,713
166,67.5,65,M,69,11,66.25,714
166,67.5,65,F,64,11,66.25,715
166,67.5,65,F,64,11,66.25,716
166,67.5,65,F,63,11,66.25,717
166,67.5,65,F,63,11,66.25,718
166,67.5,65,F,63,11,66.25,719
166,67.5,65,F,63,11,66.25,720
166,67.5,65,F,63,11,66.25,721
166,67.5,65,F,62.5,11,66.25,722
166,67.5,65,F,62,11,66.25,723
167,67,64,M,71.5,4,65.5,724
167,67,64,M,70,4,65.5,725
167,67,64,M,67,4,65.5,726
167,67,64,M,67,4,65.5,727
168,67,63.5,M,71,8,65.25,728
168,67,63.5,M,70.2,8,65.25,729
168,67,63.5,M,69.2,8,65.25,730
168,67,63.5,M,68.5,8,65.25,731
168,67,63.5,M,68,8,65.25,732
168,67,63.5,M,67,8,65.25,733
168,67,63.5,M,65.5,8,65.25,734
168,67,63.5,F,63.5,8,65.25,735
169,67,63,M,69,3,65,736
169,67,63,M,68,3,65,737
169,67,63,F,63,3,65,738
170,67.5,62,M,70,5,64.75,739
170,67.5,62,M,69.5,5,64.75,740
170,67.5,62,M,69,5,64.75,741
170,67.5,62,M,68.5,5,64.75,742
170,67.5,62,F,66,5,64.75,743
171,67,61,M,67,1,64,744
172,66,67,M,70.5,8,66.5,745
172,66,67,M,70.5,8,66.5,746
172,66,67,M,67,8,66.5,747
172,66,67,M,66,8,66.5,748
172,66,67,M,66,8,66.5,749
172,66,67,F,62,8,66.5,750
172,66,67,F,62,8,66.5,751
172,66,67,F,61.5,8,66.5,752
173,66,67,M,72,9,66.5,753
173,66,67,M,65,9,66.5,754
173,66,67,M,65,9,66.5,755
173,66,67,F,67,9,66.5,756
173,66,67,F,64,9,66.5,757
173,66,67,F,64,9,66.5,758
173,66,67,F,62,9,66.5,759
173,66,67,F,60,9,66.5,760
173,66,67,F,60,9,66.5,761
174,66,66,M,66,5,66,762
174,66,66,M,65,5,66,763
174,66,66,F,67,5,66,764
174,66,66,F,66.5,5,66,765
174,66,66,F,65.5,5,66,766
175,66,66,M,72,6,66,767
175,66,66,M,68,6,66,768
175,66,66,F,66,6,66,769
175,66,66,F,65,6,66,770
175,66,66,F,62,6,66,771
175,66,66,F,61,6,66,772
176,66.5,65,M,68.7,8,65.75,773
176,66.5,65,M,68.5,8,65.75,774
176,66.5,65,M,66.5,8,65.75,775
176,66.5,65,M,64.5,8,65.75,776
176,66.5,65,F,62.5,8,65.75,777
176,66.5,65,F,60.5,8,65.75,778
176,66.5,65,F,60.5,8,65.75,779
176,66.5,65,F,57.5,8,65.75,780
177,66,65.5,M,72,5,65.75,781
177,66,65.5,M,71,5,65.75,782
177,66,65.5,M,67,5,65.75,783
177,66,65.5,F,66,5,65.75,784
177,66,65.5,F,65,5,65.75,785
178,66,63,M,70,1,64.5,786
179,66,63.5,F,64.5,2,64.75,787
179,66,63.5,F,62,2,64.75,788
180,66.5,63,M,67.2,6,64.75,789
180,66.5,63,M,67,6,64.75,790
180,66.5,63,M,65,6,64.75,791
180,66.5,63,F,65,6,64.75,792
180,66.5,63,F,65,6,64.75,793
180,66.5,63,F,63,6,64.75,794
181,66.5,62.5,M,70,7,64.5,795
181,66.5,62.5,M,68,7,64.5,796
181,66.5,62.5,F,63.5,7,64.5,797
181,66.5,62.5,F,62.5,7,64.5,798
181,66.5,62.5,F,62.5,7,64.5,799
181,66.5,62.5,F,62.5,7,64.5,800
181,66.5,62.5,F,62.5,7,64.5,801
182,66,61.5,M,70,1,63.75,802
183,66,60,M,68,4,63,803
183,66,60,M,67,4,63,804
183,66,60,M,65,4,63,805
183,66,60,F,60,4,63,806
184,66,60,M,65,1,63,807
185,66,59,M,68,15,62.5,808
185,66,59,M,67,15,62.5,809
185,66,59,M,66.5,15,62.5,810
185,66,59,M,66,15,62.5,811
185,66,59,M,65.7,15,62.5,812
185,66,59,M,65.5,15,62.5,813
185,66,59,M,65,15,62.5,814
185,66,59,F,65,15,62.5,815
185,66,59,F,64,15,62.5,816
185,66,59,F,63,15,62.5,817
185,66,59,F,62,15,62.5,818
185,66,59,F,61,15,62.5,819
185,66,59,F,60,15,62.5,820
185,66,59,F,58,15,62.5,821
185,66,59,F,57,15,62.5,822
186,65,67,M,66.5,4,66,823
186,65,67,M,66,4,66,824
186,65,67,M,66,4,66,825
186,65,67,F,65,4,66,826
187,65,67,F,63,1,66,827
188,65,66,M,63,4,65.5,828
188,65,66,F,63,4,65.5,829
188,65,66,F,63,4,65.5,830
188,65,66,F,60,4,65.5,831
190,65,65,M,69,9,65,832
190,65,65,M,68,9,65,833
190,65,65,M,68,9,65,834
190,65,65,F,65,9,65,835
190,65,65,F,65,9,65,836
190,65,65,F,62,9,65,837
190,65,65,F,62,9,65,838
190,65,65,F,61,9,65,839
190,65,65,F,59,9,65,840
191,65,65.5,M,70.7,2,65.25,841
191,65,65.5,F,65.5,2,65.25,842
192,65,65,M,69.2,6,65,843
192,65,65,M,69,6,65,844
192,65,65,M,68,6,65,845
192,65,65,M,67.7,6,65,846
192,65,65,F,64.5,6,65,847
192,65,65,F,60.5,6,65,848
193,65,64,M,67,6,64.5,849
193,65,64,M,67,6,64.5,850
193,65,64,F,64,6,64.5,851
193,65,64,F,64,6,64.5,852
193,65,64,F,62.5,6,64.5,853
193,65,64,F,60.5,6,64.5,854
194,65,63,M,70,2,64,855
194,65,63,F,63,2,64,856
195,65,63,M,66,3,64,857
195,65,63,M,66,3,64,858
195,65,63,F,63,3,64,859
196,65.5,63,M,71,4,64.25,860
196,65.5,63,M,71,4,64.25,861
196,65.5,63,M,69,4,64.25,862
196,65.5,63,F,63.5,4,64.25,863
197,65.5,60,M,68,5,62.75,864
197,65.5,60,M,68,5,62.75,865
197,65.5,60,M,67,5,62.75,866
197,65.5,60,M,67,5,62.75,867
197,65.5,60,F,62,5,62.75,868
198,64,64,M,71.5,7,64,869
198,64,64,M,68,7,64,870
198,64,64,F,65.5,7,64,871
198,64,64,F,64,7,64,872
198,64,64,F,62,7,64,873
198,64,64,F,62,7,64,874
198,64,64,F,61,7,64,875
199,64,64,M,70.5,7,64,876
199,64,64,M,68,7,64,877
199,64,64,F,67,7,64,878
199,64,64,F,65,7,64,879
199,64,64,F,64,7,64,880
199,64,64,F,64,7,64,881
199,64,64,F,60,7,64,882
200,64,63,M,64.5,1,63.5,883
201,64,60,M,66,2,62,884
201,64,60,F,60,2,62,885
203,62,66,M,64,3,64,886
203,62,66,F,62,3,64,887
203,62,66,F,61,3,64,888
204,62.5,63,M,66.5,2,62.75,889
204,62.5,63,F,57,2,62.75,890
